,Puzzles,layer
317,5 13 12 8,
318,3 3 8 11,
319,11 3 4 11,
320,8 10 5 9,
321,5 7 6 10,
322,8 5 1 5,
323,7 7 3 5,
324,7 12 13 9,
325,11 1 1 6,
326,13 11 4 1,
327,13 12 7 9,
328,7 13 11 12,
329,5 8 12 8,
330,8 13 10 4,
331,8 3 10 13,
332,4 9 10 3,
333,8 13 11 10,
334,2 9 12 11,
335,1 1 6 13,
336,6 10 13 11,
337,9 9 9 7,
338,13 9 2 2,
339,13 11 7 1,
340,7 4 13 2,
341,13 3 10 1,
342,3 11 1 13,
343,7 6 4 3,
344,9 1 12 1,
345,6 7 6 7,
346,12 13 2 4,
347,11 1 10 11,
348,8 8 13 1,
349,1 7 10 10,
350,11 1 11 6,
351,1 9 9 9,
352,9 10 5 9,
353,13 11 9 4,
354,8 9 5 9,
355,5 2 13 13,
356,5 3 3 11,
357,6 11 4 8,
358,6 10 7 9,
359,6 13 11 13,
360,10 7 8 3,
361,13 12 8 5,
362,10 1 10 10,
363,2 1 4 1,
364,11 3 10 11,
365,3 10 11 11,
366,9 10 4 3,
367,11 6 11 2,
368,4 7 12 7,
369,7 5 8 13,
370,8 7 10 2,
371,13 13 10 7,
372,10 6 11 7,
373,1 11 5 1,
374,12 7 9 2,
375,10 6 9 13,
376,1 10 1 1,
377,5 5 10 12,
378,13 13 10 9,
379,7 7 4 12,
380,7 11 12 10,
381,5 11 7 8,
382,6 5 10 5,
383,10 9 9 8,
384,7 12 7 9,
385,5 11 2 11,
386,2 1 8 12,
387,6 9 13 13,
388,7 4 2 13,
389,13 1 3 11,
390,5 10 12 5,
391,5 5 9 13,
392,8 12 13 12,
393,7 13 11 3,
394,2 9 3 11,
395,12 9 7 9,
396,8 2 13 11,
397,11 3 9 5,
398,10 11 13 1,
399,10 7 11 12,
