Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),difficulty
128,6 6 11 13,5.79,97.8,6.3,2.25,easy
136,11 13 13 13,5.85,97.8,6.41,2.42,easy
107,1 7 7 10,5.7,97.8,6.17,2.18,easy
11,1 1 2 8,4.96,97.8,5.31,1.76,easy
100,5 5 7 7,5.65,97.8,5.97,1.91,easy
520,2 4 8 10,7.43,97.8,7.91,2.6,easy
311,2 3 4 6,6.6,97.8,7.01,2.29,easy
267,4 4 4 4,6.43,97.8,7.03,2.93,easy
53,1 1 4 5,5.38,97.8,5.77,2.02,easy
45,1 8 8 8,5.32,97.7,5.65,1.94,easy
364,1 6 8 11,6.84,97.7,7.3,2.46,easy
27,1 1 3 6,5.17,97.7,5.52,1.77,easy
270,2 6 6 12,6.44,97.7,6.97,2.55,easy
119,1 2 2 12,5.74,97.7,6.1,1.99,easy
213,3 3 3 6,6.17,97.7,6.71,2.56,easy
112,3 3 4 6,5.71,97.7,6.14,2.11,easy
245,1 2 10 11,6.32,97.6,6.66,2.39,easy
26,1 2 4 12,5.16,97.6,5.56,1.99,easy
152,10 10 11 13,5.91,97.6,6.49,2.37,easy
58,11 12 12 12,5.4,97.6,5.74,1.88,easy
183,3 9 9 9,6.04,97.6,6.47,2.16,easy
159,4 5 12 13,5.93,97.6,6.42,2.16,easy
269,1 6 9 9,6.44,97.5,6.87,2.52,easy
173,1 7 8 10,5.99,97.5,6.41,2.3,easy
285,1 4 6 13,6.51,97.5,6.96,2.39,easy
146,4 8 10 10,5.9,97.5,6.32,2.15,easy
147,1 4 8 12,5.91,97.5,6.26,2.2,easy
469,1 3 4 5,7.23,97.5,7.73,2.53,easy
117,3 8 8 8,5.73,97.5,6.09,2.14,easy
178,1 2 10 12,6.03,97.4,6.55,2.43,easy
258,1 6 7 11,6.39,97.4,7.02,2.89,easy
101,4 5 11 12,5.66,97.4,6.06,2.09,easy
86,2 3 12 12,5.58,97.4,5.97,2.0,easy
85,1 1 1 13,5.58,97.4,5.9,1.77,easy
170,1 2 6 6,5.98,97.4,6.41,2.25,easy
201,5 6 12 13,6.11,97.4,6.51,2.17,easy
17,1 1 4 12,5.03,97.4,5.45,1.85,easy
82,1 3 10 10,5.57,97.4,5.87,2.0,easy
163,2 8 8 12,5.95,97.4,6.47,2.44,easy
325,1 4 8 13,6.68,97.4,7.07,2.44,easy
89,1 3 3 4,5.61,97.4,5.86,1.79,easy
106,3 7 7 7,5.69,97.4,6.03,2.02,easy
174,4 5 5 5,5.99,97.4,6.55,2.42,easy
125,3 4 4 6,5.77,97.4,6.1,1.93,easy
118,12 12 12 13,5.73,97.4,6.07,1.98,easy
129,7 7 11 13,5.79,97.4,6.32,2.29,easy
47,2 9 9 12,5.33,97.3,5.74,2.0,easy
451,4 6 6 8,7.14,97.3,7.61,2.61,easy
40,1 1 1 11,5.27,97.3,5.56,1.66,easy
108,4 5 5 6,5.7,97.3,6.11,2.11,easy
166,3 7 10 10,5.96,97.3,6.35,2.19,easy
235,1 5 10 10,6.28,97.3,6.65,2.3,easy
15,1 1 3 12,5.02,97.3,5.36,1.84,easy
161,1 2 11 11,5.95,97.3,6.44,2.44,easy
227,1 2 13 13,6.23,97.2,6.93,2.69,easy
266,1 6 6 13,6.42,97.2,6.8,2.44,easy
38,2 11 11 12,5.26,97.2,5.68,2.0,easy
150,5 6 11 12,5.91,97.2,6.36,2.23,easy
341,6 8 10 12,6.74,97.2,7.28,2.79,easy
192,1 1 9 13,6.09,97.2,6.55,2.54,easy
184,1 1 6 6,6.05,97.2,6.46,2.19,easy
233,1 3 11 11,6.27,97.2,6.68,2.43,easy
265,1 3 6 6,6.42,97.2,6.89,2.58,easy
70,2 12 13 13,5.49,97.1,5.85,2.04,easy
385,1 2 2 11,6.92,97.1,7.46,2.95,easy
297,1 6 8 10,6.55,97.1,6.98,2.39,easy
57,5 6 12 12,5.39,97.1,5.78,1.81,easy
97,1 1 4 7,5.65,97.1,5.95,2.07,easy
154,1 7 8 9,5.92,97.1,6.38,2.27,easy
172,1 2 4 4,5.99,97.1,6.33,2.14,easy
377,4 7 10 11,6.89,97.0,7.42,2.74,easy
164,3 6 6 8,5.95,97.0,6.35,2.24,easy
219,1 2 3 8,6.2,97.0,6.61,2.38,easy
349,11 12 12 13,6.78,97.0,7.39,2.67,easy
460,3 4 5 12,7.18,97.0,7.61,2.67,easy
320,1 2 3 6,6.65,97.0,7.08,2.43,easy
306,1 3 13 13,6.59,97.0,7.11,2.6,easy
148,2 10 10 12,5.91,97.0,6.29,2.31,easy
28,1 1 3 9,5.17,97.0,5.52,1.85,easy
313,1 2 10 13,6.61,97.0,7.12,2.72,easy
35,4 5 12 12,5.24,97.0,5.6,1.79,easy
67,3 8 9 9,5.45,97.0,5.83,1.98,easy
88,8 8 11 13,5.6,97.0,6.1,2.29,easy
83,2 3 3 8,5.57,96.9,5.94,1.94,easy
84,3 5 5 8,5.57,96.9,5.97,2.08,easy
202,3 3 11 13,6.12,96.9,6.62,2.5,easy
214,3 3 3 12,6.17,96.9,6.65,2.46,easy
388,1 2 11 12,6.93,96.9,7.63,3.2,easy
234,1 4 4 5,6.27,96.9,6.82,2.67,easy
72,1 1 3 7,5.5,96.8,5.82,1.95,easy
95,2 7 7 8,5.64,96.8,5.94,1.99,easy
32,1 1 5 6,5.19,96.8,5.62,2.04,easy
138,1 3 6 12,5.88,96.8,6.27,2.18,easy
141,4 6 8 8,5.88,96.8,6.31,2.23,easy
132,9 9 11 13,5.81,96.8,6.35,2.41,easy
54,1 6 8 12,5.38,96.8,5.77,2.0,easy
304,1 7 7 11,6.58,96.8,7.15,2.6,easy
176,1 2 6 12,6.01,96.8,6.38,2.24,easy
305,4 6 12 12,6.58,96.8,7.03,2.42,easy
243,6 7 11 12,6.3,96.8,6.84,2.59,easy
414,1 3 7 13,7.01,96.8,7.4,2.64,easy
24,3 7 7 8,5.11,96.7,5.48,1.89,easy
314,1 3 3 9,6.61,96.7,7.15,2.85,easy
331,5 7 10 12,6.69,96.7,7.13,2.44,easy
494,10 11 11 12,7.31,96.7,7.8,2.8,easy
216,1 4 7 8,6.19,96.6,6.68,2.71,easy
410,4 4 4 12,6.99,96.6,7.46,2.94,easy
352,3 4 5 7,6.81,96.6,7.28,2.65,easy
194,1 7 8 8,6.09,96.6,6.61,2.66,easy
397,2 6 7 13,6.96,96.6,7.37,2.66,easy
131,1 4 6 12,5.81,96.6,6.23,2.41,easy
563,1 3 8 12,7.64,96.6,8.14,2.9,easy
110,1 2 2 10,5.71,96.6,6.05,2.11,easy
318,3 4 10 13,6.63,96.5,7.15,2.82,easy
181,3 8 12 12,6.03,96.5,6.47,2.46,easy
481,2 4 10 12,7.28,96.5,7.94,3.12,easy
185,1 2 4 8,6.05,96.5,6.44,2.31,easy
229,1 4 8 8,6.24,96.5,6.71,2.48,easy
80,1 8 9 12,5.56,96.5,5.87,1.96,easy
76,5 5 11 12,5.52,96.5,5.89,1.9,easy
293,1 4 7 13,6.54,96.5,7.22,2.95,easy
237,2 2 2 8,6.28,96.4,6.84,2.73,easy
407,6 7 10 13,6.98,96.4,7.5,2.75,easy
137,4 6 6 7,5.87,96.4,6.23,2.1,easy
226,1 1 5 7,6.23,96.4,6.56,2.09,easy
370,7 8 12 13,6.87,96.4,7.34,2.62,easy
135,3 4 11 13,5.84,96.4,6.32,2.35,easy
435,1 2 2 13,7.09,96.4,7.64,3.12,easy
519,1 2 3 9,7.43,96.4,7.98,3.1,easy
432,1 3 10 12,7.07,96.4,7.55,2.75,easy
358,2 4 4 8,6.82,96.4,7.23,2.67,easy
61,1 3 5 12,5.42,96.4,5.79,2.1,easy
368,1 3 10 11,6.87,96.4,7.53,3.1,easy
13,1 1 5 8,5.0,96.4,5.36,1.81,easy
90,1 8 8 12,5.61,96.3,5.91,1.9,easy
317,2 5 6 11,6.63,96.3,7.12,2.59,easy
422,1 7 7 9,7.03,96.3,7.4,2.83,easy
252,1 8 8 9,6.37,96.3,6.9,2.71,easy
359,4 4 4 8,6.82,96.3,7.38,2.8,easy
120,2 8 9 9,5.74,96.3,6.13,2.1,easy
294,1 5 8 10,6.54,96.3,7.09,2.54,easy
362,7 9 13 13,6.83,96.3,7.42,2.78,easy
168,4 6 10 10,5.97,96.3,6.34,2.37,easy
127,4 6 9 9,5.79,96.3,6.17,2.22,easy
307,3 8 9 10,6.59,96.2,6.95,2.46,easy
144,2 4 11 11,5.9,96.2,6.33,2.34,easy
199,3 3 4 8,6.1,96.2,6.43,2.14,easy
302,7 8 11 12,6.57,96.2,7.05,2.64,easy
190,1 3 9 12,6.08,96.2,6.48,2.34,easy
427,2 3 5 5,7.05,96.2,7.57,2.94,easy
625,2 3 3 6,7.95,96.2,8.45,2.96,easy
447,1 2 4 10,7.13,96.2,7.62,3.17,easy
122,8 9 12 12,5.75,96.2,6.26,2.24,easy
588,3 6 6 9,7.77,96.2,8.24,2.96,easy
231,1 2 3 12,6.25,96.2,6.8,2.53,easy
344,3 3 5 6,6.76,96.2,7.36,2.7,easy
282,3 4 5 8,6.5,96.1,6.96,2.63,easy
225,5 5 5 6,6.22,96.1,6.68,2.34,easy
209,5 5 11 13,6.15,96.1,6.75,2.52,easy
350,5 7 11 11,6.79,96.1,7.22,2.67,easy
279,1 4 4 7,6.49,96.1,7.22,3.18,easy
260,1 2 8 8,6.4,96.1,6.97,2.74,easy
440,2 2 7 13,7.1,96.1,7.59,2.92,easy
382,9 10 11 12,6.9,96.1,7.41,2.76,easy
537,1 2 3 7,7.5,96.1,8.17,3.2,easy
92,7 8 12 12,5.63,96.1,6.07,2.12,easy
133,3 8 12 13,5.82,96.0,6.19,2.2,easy
450,1 3 4 11,7.14,96.0,7.65,2.91,easy
56,3 8 11 11,5.39,96.0,5.74,2.09,easy
384,8 9 12 13,6.91,96.0,7.4,2.7,easy
466,2 6 7 9,7.21,96.0,7.75,3.0,easy
383,1 3 6 7,6.91,96.0,7.32,2.81,easy
324,3 3 3 3,6.67,96.0,7.4,3.34,easy
193,1 2 6 8,6.09,95.9,6.41,2.33,easy
504,4 4 5 8,7.37,95.9,7.72,2.57,easy
143,10 11 12 12,5.89,95.9,6.27,2.05,easy
103,1 7 9 12,5.68,95.9,6.08,2.24,easy
551,1 2 12 13,7.58,95.9,8.31,3.37,easy
496,3 3 9 9,7.32,95.9,7.7,2.77,easy
91,3 7 8 8,5.63,95.9,5.99,2.03,easy
262,1 3 3 7,6.41,95.9,7.25,3.33,easy
300,2 10 11 12,6.56,95.9,6.86,2.4,easy
522,2 6 6 6,7.45,95.9,8.01,3.06,easy
343,2 3 12 13,6.76,95.9,7.24,2.63,easy
280,1 2 4 6,6.5,95.9,6.88,2.53,easy
567,1 4 9 12,7.67,95.9,8.33,3.37,easy
351,2 2 2 4,6.8,95.9,7.13,2.48,easy
264,3 6 10 11,6.41,95.8,7.05,2.86,easy
637,10 11 12 13,8.01,95.8,8.62,3.48,easy
241,7 9 11 11,6.29,95.8,6.77,2.64,easy
217,1 10 12 12,6.19,95.8,6.81,2.94,easy
539,2 2 6 6,7.51,95.8,8.02,3.05,easy
530,1 4 5 5,7.48,95.8,7.91,2.68,easy
292,4 6 7 8,6.53,95.8,6.96,2.48,easy
255,1 2 12 12,6.38,95.8,6.71,2.2,easy
371,8 9 10 13,6.87,95.8,7.37,2.65,easy
613,2 2 4 8,7.89,95.8,8.41,3.08,easy
157,9 10 12 12,5.92,95.7,6.24,2.02,easy
276,6 10 10 10,6.47,95.7,6.74,2.31,easy
240,4 4 5 6,6.29,95.7,6.6,2.26,easy
730,1 2 3 11,8.58,95.7,8.98,3.39,easy
463,4 8 10 12,7.19,95.7,7.71,2.86,easy
515,1 4 4 4,7.41,95.7,7.86,2.86,easy
142,1 4 5 12,5.89,95.7,6.33,2.33,easy
442,2 6 10 10,7.11,95.7,7.58,2.96,easy
81,6 7 12 12,5.56,95.6,5.93,2.03,easy
272,1 7 8 12,6.45,95.6,6.97,2.67,easy
205,5 5 12 13,6.14,95.6,6.62,2.14,easy
360,2 4 13 13,6.83,95.6,7.34,2.76,easy
134,1 8 10 12,5.83,95.6,6.16,2.19,easy
105,1 1 2 10,5.69,95.6,5.96,1.81,easy
573,4 5 7 8,7.7,95.6,8.19,3.15,easy
495,2 5 6 8,7.32,95.6,7.91,3.03,easy
546,4 4 8 8,7.53,95.6,8.13,3.2,easy
130,1 4 4 12,5.81,95.6,6.31,2.36,easy
66,3 8 10 10,5.44,95.6,5.89,2.25,easy
77,1 2 5 8,5.54,95.5,5.94,2.26,easy
63,1 9 9 12,5.44,95.5,5.72,1.78,easy
523,2 6 9 11,7.45,95.5,7.93,3.13,easy
827,2 2 6 8,9.27,95.5,9.69,3.59,easy
734,1 2 3 3,8.59,95.5,8.93,2.98,easy
406,3 8 8 9,6.98,95.5,7.29,2.5,easy
542,1 2 2 4,7.52,95.5,7.83,2.44,easy
333,1 3 3 3,6.71,95.5,7.09,2.55,easy
366,2 6 6 8,6.85,95.5,7.42,2.98,easy
242,2 12 12 13,6.3,95.5,6.69,2.37,easy
436,2 5 9 12,7.09,95.4,7.53,2.84,easy
335,1 1 2 7,6.73,95.4,6.96,2.07,easy
596,1 4 8 11,7.83,95.4,8.26,2.85,easy
197,2 11 12 12,6.09,95.4,6.49,2.27,easy
391,3 6 6 12,6.94,95.4,7.6,2.84,easy
438,1 2 3 5,7.1,95.4,7.39,2.38,easy
160,1 3 6 8,5.94,95.4,6.37,2.53,easy
94,1 2 5 12,5.64,95.4,6.09,2.2,easy
327,6 7 12 13,6.68,95.4,7.17,2.72,easy
102,1 6 9 12,5.67,95.4,6.05,2.13,easy
153,1 3 3 12,5.92,95.3,6.32,2.31,easy
283,4 5 6 6,6.5,95.3,6.81,2.33,easy
511,2 2 4 7,7.4,95.3,8.06,3.15,easy
363,9 11 11 11,6.83,95.3,7.21,2.76,easy
167,2 8 10 10,5.97,95.3,6.28,2.07,easy
365,1 1 3 5,6.85,95.2,7.17,2.32,easy
356,8 9 11 12,6.81,95.2,7.45,3.01,easy
516,9 10 10 13,7.41,95.2,7.86,3.02,easy
165,5 5 5 5,5.95,95.2,6.36,2.16,easy
109,4 8 11 11,5.7,95.1,6.01,1.98,easy
263,2 5 6 12,6.41,95.1,6.8,2.52,easy
275,1 3 5 8,6.47,95.1,7.13,2.89,easy
223,11 12 13 13,6.21,95.1,6.69,2.43,easy
674,2 2 6 10,8.21,95.1,8.64,3.02,easy
169,1 1 3 13,5.98,95.1,6.36,2.13,easy
396,2 6 10 12,6.95,95.1,7.43,2.81,easy
284,1 3 3 5,6.51,95.1,6.76,2.46,easy
328,1 2 5 5,6.69,95.1,7.19,2.91,easy
446,3 4 11 12,7.12,95.1,7.75,3.35,easy
439,1 3 9 11,7.1,95.1,7.65,3.15,easy
405,1 2 6 7,6.98,95.1,7.35,2.55,easy
630,1 2 5 9,7.98,95.0,8.48,3.09,easy
746,1 3 4 7,8.67,95.0,9.48,3.83,easy
559,2 3 5 6,7.63,95.0,8.05,2.95,easy
376,2 8 12 12,6.89,95.0,7.27,2.62,easy
389,2 4 5 8,6.93,95.0,7.31,2.74,easy
565,1 4 10 11,7.65,95.0,8.1,3.15,easy
655,3 7 8 12,8.11,95.0,8.61,3.22,easy
572,3 3 4 12,7.7,95.0,8.34,3.2,easy
323,2 8 9 12,6.66,95.0,7.04,2.72,easy
336,1 2 5 7,6.73,95.0,7.07,2.65,easy
404,11 11 12 13,6.97,94.9,7.39,2.48,easy
531,1 5 5 6,7.48,94.9,7.99,3.07,easy
484,1 1 6 8,7.29,94.9,7.62,2.55,easy
646,4 7 9 12,8.07,94.9,8.58,3.25,easy
239,2 7 8 12,6.29,94.9,6.73,2.56,easy
345,2 11 11 13,6.77,94.9,7.28,2.84,easy
208,2 3 11 12,6.15,94.8,6.74,2.75,easy
631,2 7 8 11,7.98,94.8,8.57,3.59,easy
49,3 8 13 13,5.34,94.8,5.68,2.06,easy
507,3 5 10 12,7.38,94.8,7.95,3.1,easy
123,1 5 8 8,5.76,94.8,6.35,2.69,easy
236,1 8 10 13,6.28,94.8,6.6,2.43,easy
48,11 11 11 12,5.33,94.8,5.61,1.99,easy
623,2 3 5 11,7.93,94.8,8.43,3.29,easy
430,8 10 11 11,7.05,94.8,7.45,2.76,easy
256,2 8 10 11,6.38,94.7,6.87,2.62,easy
299,3 9 9 12,6.55,94.7,6.92,2.56,easy
288,10 11 11 13,6.51,94.7,6.91,2.63,easy
247,1 5 7 8,6.33,94.7,6.71,2.42,easy
499,2 3 7 12,7.34,94.7,7.81,3.04,easy
549,2 4 5 13,7.55,94.7,8.14,3.25,easy
115,3 3 11 12,5.72,94.7,6.11,2.19,easy
521,1 7 9 9,7.44,94.7,7.92,3.19,easy
357,1 1 2 9,6.82,94.6,7.11,2.33,easy
354,4 8 8 8,6.81,94.6,7.16,2.75,easy
687,2 4 4 4,8.31,94.6,8.76,3.19,easy
310,1 10 11 12,6.6,94.6,6.98,2.5,easy
303,1 2 5 6,6.58,94.6,7.11,2.75,easy
287,2 4 5 12,6.51,94.5,6.96,2.87,easy
485,2 2 3 9,7.29,94.5,7.73,2.88,easy
162,1 6 12 12,5.95,94.5,6.37,2.45,easy
553,3 4 9 12,7.58,94.5,8.02,3.08,easy
187,3 4 12 12,6.05,94.5,6.52,2.48,easy
175,1 1 4 4,6.01,94.5,6.31,2.43,easy
683,1 3 4 9,8.3,94.5,8.8,3.81,easy
149,3 6 13 13,5.91,94.5,6.15,1.95,easy
145,4 6 10 11,5.9,94.5,6.3,2.39,easy
298,3 5 11 11,6.55,94.5,7.06,2.97,easy
924,2 4 6 12,10.23,94.5,11.06,4.75,easy
459,1 5 9 9,7.18,94.4,7.69,3.15,easy
221,1 4 6 8,6.21,94.4,6.57,2.52,easy
188,4 8 13 13,6.05,94.4,6.27,1.91,easy
497,3 6 6 6,7.32,94.4,7.75,3.15,easy
766,4 8 8 12,8.83,94.4,9.39,3.84,easy
657,1 4 9 11,8.12,94.4,8.78,3.71,easy
116,3 6 11 11,5.72,94.4,5.99,2.05,easy
437,3 3 4 4,7.09,94.4,7.45,2.69,easy
156,3 8 10 11,5.92,94.4,6.27,2.35,easy
603,1 2 6 9,7.86,94.3,8.4,3.58,easy
589,1 2 2 5,7.79,94.3,8.03,2.83,easy
278,1 1 3 11,6.49,94.3,6.73,1.97,easy
289,12 13 13 13,6.52,94.3,6.85,2.44,easy
715,1 2 7 8,8.49,94.3,9.01,3.53,easy
444,1 10 12 13,7.12,94.3,7.45,2.83,easy
743,2 2 8 10,8.65,94.3,9.26,3.29,easy
642,8 10 10 12,8.05,94.3,8.52,3.4,easy
739,1 2 5 13,8.62,94.3,9.16,3.68,easy
478,1 6 8 13,7.27,94.3,7.7,2.83,easy
380,3 3 3 10,6.9,94.3,7.47,3.25,easy
155,1 12 13 13,5.92,94.3,6.25,2.17,easy
467,3 5 13 13,7.22,94.3,7.71,3.07,easy
662,4 6 8 12,8.14,94.2,8.76,3.48,easy
381,6 8 11 11,6.9,94.2,7.43,3.06,easy
552,2 3 4 12,7.58,94.2,8.09,3.28,easy
860,3 3 6 9,9.57,94.2,10.28,4.1,easy
529,5 7 13 13,7.47,94.2,7.87,3.21,easy
609,10 12 13 13,7.87,94.2,8.32,2.93,easy
308,3 10 10 12,6.59,94.2,6.94,2.35,easy
378,1 11 12 12,6.9,94.2,7.43,3.1,easy
191,3 8 11 12,6.08,94.2,6.55,2.64,easy
462,1 12 12 13,7.19,94.2,7.7,3.12,easy
555,2 2 4 10,7.61,94.1,8.01,2.92,easy
722,2 4 6 6,8.52,94.1,9.27,3.98,easy
654,1 3 4 13,8.11,94.1,8.7,3.66,easy
569,2 2 2 10,7.68,94.1,8.13,3.33,easy
257,2 11 13 13,6.38,94.1,6.88,2.52,easy
681,2 5 10 11,8.28,94.1,8.85,3.5,easy
600,1 4 4 9,7.85,94.1,8.25,3.34,easy
738,2 6 6 10,8.61,94.1,9.05,3.64,easy
419,1 3 5 13,7.02,94.1,7.43,2.72,easy
610,2 2 6 12,7.88,94.1,8.48,3.48,easy
249,9 9 12 13,6.33,94.0,6.69,2.25,easy
393,4 7 8 8,6.94,94.0,7.33,2.53,easy
940,2 6 8 12,10.45,94.0,11.09,4.51,easy
433,2 3 3 13,7.07,94.0,7.6,2.92,easy
758,3 4 7 7,8.75,94.0,9.41,3.8,easy
490,2 7 8 13,7.3,94.0,7.84,3.11,easy
416,3 6 9 9,7.01,94.0,7.6,3.28,easy
823,2 3 4 4,9.25,94.0,9.67,3.57,easy
477,7 9 10 12,7.26,94.0,7.78,3.16,easy
486,3 3 4 5,7.29,94.0,7.75,3.18,easy
740,6 8 9 13,8.62,93.9,9.3,3.96,easy
246,1 5 8 9,6.32,93.9,6.76,2.62,easy
636,4 4 6 12,8.01,93.9,8.69,3.77,easy
611,3 4 5 5,7.88,93.9,8.56,3.65,easy
648,2 4 8 8,8.08,93.9,8.75,4.12,easy
445,2 8 8 8,7.12,93.9,7.68,3.28,easy
93,9 9 11 12,5.63,93.9,5.98,2.15,easy
228,7 7 12 13,6.23,93.9,6.63,2.35,easy
658,2 7 9 10,8.12,93.9,8.52,3.2,easy
244,4 6 12 13,6.31,93.8,6.82,2.88,easy
736,4 6 10 12,8.59,93.8,9.17,3.92,easy
198,4 7 7 8,6.09,93.8,6.55,2.52,easy
423,3 7 12 13,7.03,93.8,7.5,3.0,easy
650,2 4 8 12,8.09,93.8,8.86,4.19,easy
455,2 9 10 12,7.16,93.8,7.49,2.83,easy
615,2 4 6 10,7.9,93.8,8.32,3.37,easy
706,3 6 8 9,8.42,93.8,8.82,3.16,easy
501,1 11 12 13,7.35,93.8,7.77,3.19,easy
580,6 6 10 12,7.72,93.8,8.14,3.07,easy
742,1 3 9 13,8.65,93.7,9.25,4.13,medium
472,1 7 9 13,7.25,93.7,7.5,2.52,medium
369,1 9 10 12,6.87,93.7,7.18,2.72,medium
151,6 6 10 13,5.91,93.7,6.43,2.68,medium
544,2 2 7 8,7.53,93.7,7.88,2.98,medium
71,7 7 11 12,5.49,93.7,5.78,2.05,medium
315,1 9 11 12,6.61,93.7,7.05,2.97,medium
337,1 5 6 6,6.73,93.6,7.41,3.4,medium
548,1 2 4 13,7.55,93.6,7.88,2.93,medium
321,3 6 6 7,6.65,93.6,7.09,2.67,medium
339,1 6 6 10,6.74,93.6,7.09,3.03,medium
652,2 4 9 13,8.1,93.6,8.44,3.5,medium
576,5 6 7 8,7.71,93.5,8.21,3.11,medium
493,7 10 10 11,7.3,93.5,7.63,2.94,medium
348,1 2 11 13,6.78,93.5,7.42,3.1,medium
392,4 6 9 10,6.94,93.5,7.45,3.24,medium
220,4 4 10 13,6.2,93.5,6.71,2.79,medium
502,3 5 6 8,7.35,93.5,7.83,3.19,medium
644,1 5 9 10,8.07,93.5,8.59,3.77,medium
672,9 10 12 13,8.19,93.5,8.76,3.56,medium
679,1 2 8 9,8.28,93.4,8.87,3.42,medium
726,3 7 7 13,8.56,93.4,8.84,3.13,medium
322,1 12 12 12,6.66,93.4,6.88,2.57,medium
342,2 2 2 13,6.75,93.4,7.1,2.72,medium
465,3 6 11 12,7.2,93.4,7.7,3.18,medium
721,2 3 10 13,8.51,93.4,9.02,3.94,medium
158,1 11 11 12,5.93,93.4,6.17,2.22,medium
479,3 4 8 10,7.27,93.4,7.66,3.19,medium
543,3 5 6 12,7.52,93.4,8.04,3.23,medium
